Country,Broadband Mbps
Monaco,192.68
Singapore,192.01
Chile,189.36
Thailand,184.03
Hong Kong (SAR),173.42
Denmark,163.6
Macau (SAR),156.73
China,155.79
United States,143.76
Spain,134.19
Romania,127.07
Liechtenstein,118.19
New Zealand,113.14
Japan,112.9
United Arab Emirates,111.79
Switzerland,110.3
Norway,105.61
Netherlands,102.6
Sweden,102.08
Hungary,100.65
Canada,100.06
Portugal,99.62
South Korea,99.59
Kuwait,96.93
Taiwan,96.82
Panama,94.51
France,94.34
Andorra,92.42
Moldova,92.4
Luxembourg,92.1
Malta,90.36
Finland,89.6
Israel,87.98
Brazil,87.52
Poland,86.2
Uruguay,85.61
Malaysia,84.18
Belgium,81.1
Lithuania,79.81
Trinidad and Tobago,79.35
Saudi Arabia,79.32
Saint Lucia,73.7
Qatar,72.22
Germany,69.52
Barbados,68.83
San Marino,68.29
Vietnam,67.5
Ireland,66.39
Latvia,64.93
Russia,63.76
Slovenia,63.63
United Kingdom,61.69
Colombia,59.97
Saint Vincent and the Grenadines,58.26
Bulgaria,55.9
Paraguay,54.58
Ukraine,52.5
Estonia,52.3
Austria,51.62
Dominica,50.96
Australia,50.89
Montenegro,50.81
Costa Rica,50.79
Grenada,50.66
Jordan,50.18
Italy,49.8
Philippines,49.52
Serbia,48.97
Czechia,47.68
Bahrain,47.38
Slovakia,47.34
India,47.08
Mongolia,46.81
Belarus,45.67
Kosovo,45.28
Kyrgyzstan,43.31
Peru,43.21
Oman,42.65
Nepal,39.73
Croatia,39.54
Mexico,38.77
Argentina,38.47
The Bahamas,37.69
Uzbekistan,36.85
Jamaica,36.45
Egypt,35.67
Brunei,35.26
Armenia,34.26
Ecuador,33.96
Kazakhstan,33.76
Albania,33.5
Greece,33.41
Belize,31.81
Bangladesh,31.52
C̫te d'Ivoire,31.42
Guyana,31.01
South Africa,29.6
Cyprus,29.48
Nicaragua,29.04
Laos,28.11
Ghana,27.16
North Macedonia,26.77
Turkey,26.34
Honduras,25.98
Saint Kitts and Nevis,25.16
Madagascar,25.16
Bolivia,24.19
Bosnia and Herzegovina,22.56
Seychelles,22.13
Guatemala,21.56
El Salvador,21.11
Sri Lanka,20.94
Iraq,20.64
Senegal,20.36
Indonesia,20.2
Georgia,20.18
Mauritius,19.88
Burkina Faso,19.71
Cambodia,19.36
Lesotho,18.92
Mali,17.71
Azerbaijan,17.4
Antigua and Barbuda,17.36
Tajikistan,16.96
Togo,16.46
Cape Verde,16.37
Dominican Republic,15.52
Republic of the Union of Myanmar,15.2
Haiti,14.89
Palestine,14.3
Gabon,13.41
Morocco,12.78
Fiji,12.27
Angola,11.97
Congo,11.84
Libya,11
Maldives,10.97
Suriname,10.79
Benin,10.77
Western Sahara,10.51
Iran,10.39
Nigeria,10.06
Micronesia,9.75
Algeria,9.72
Uganda,9.57
Rwanda,9.52
Liberia,9.48
Tanzania,9.45
Marshall Islands,9.29
Papua New Guinea,9.25
Pakistan,9.12
Cameroon,9.04
Kenya,8.91
Sierra Leone,8.57
Bhutan,8.52
Namibia,8.29
The Gambia,7.84
Tunisia,7.64
Lebanon,7.27
Botswana,7.22
Venezuela,7.15
Somalia,6.78
Mozambique,6.23
Mauritania,6.1
Malawi,5.54
Burundi,5.44
Zimbabwe,5.21
Swaziland,4.94
Djibouti,4.71
Zambia,4.6
Niger,3.85
Guinea,3.79
Sudan,3.28
Syria,2.87
Yemen,2.74
Ethiopia,2.69
Cuba,1.9
Turkmenistan,1.89
Afghanistan,1.62
